crop,season,N_category,P_category,K_category,water_requirement,root_depth,soil_type,temp_C,rainfall_mm,humidity_pct,ph,temp_range,rainfall_range,humidity_range,ph_range
wheat,Rabi,Medium,Medium,Medium,Medium,Medium,Clay loam,13.75,450.0,47.5,6.375,17.5,600.0,55.0,6.75
wheat,Rabi,Medium,Medium,Medium,Medium,Medium,Clay loam,15.625,525.0,51.25,6.562,17.5,600.0,55.0,6.75
wheat,Rabi,Medium,Medium,Medium,Medium,Medium,Clay loam,17.5,600.0,55.0,6.75,17.5,600.0,55.0,6.75
wheat,Rabi,Medium,Medium,Medium,Medium,Medium,Clay loam,19.375,675.0,58.75,6.938,17.5,600.0,55.0,6.75
wheat,Rabi,Medium,Medium,Medium,Medium,Medium,Clay loam,21.25,750.0,62.5,7.125,17.5,600.0,55.0,6.75
wheat,Rabi,Medium,Medium,Medium,Medium,Medium,Alluvial,13.75,450.0,47.5,6.375,17.5,600.0,55.0,6.75
wheat,Rabi,Medium,Medium,Medium,Medium,Medium,Alluvial,15.625,525.0,51.25,6.562,17.5,600.0,55.0,6.75
wheat,Rabi,Medium,Medium,Medium,Medium,Medium,Alluvial,17.5,600.0,55.0,6.75,17.5,600.0,55.0,6.75
wheat,Rabi,Medium,Medium,Medium,Medium,Medium,Alluvial,19.375,675.0,58.75,6.938,17.5,600.0,55.0,6.75
wheat,Rabi,Medium,Medium,Medium,Medium,Medium,Alluvial,21.25,750.0,62.5,7.125,17.5,600.0,55.0,6.75
maize,Kharif,Medium,Medium,Medium,Medium,Medium,Sandy loam,21.0,625.0,57.5,6.0,24.0,750.0,65.0,6.5
maize,Kharif,Medium,Medium,Medium,Medium,Medium,Sandy loam,22.5,687.5,61.25,6.25,24.0,750.0,65.0,6.5
maize,Kharif,Medium,Medium,Medium,Medium,Medium,Sandy loam,24.0,750.0,65.0,6.5,24.0,750.0,65.0,6.5
maize,Kharif,Medium,Medium,Medium,Medium,Medium,Sandy loam,25.5,812.5,68.75,6.75,24.0,750.0,65.0,6.5
maize,Kharif,Medium,Medium,Medium,Medium,Medium,Sandy loam,27.0,875.0,72.5,7.0,24.0,750.0,65.0,6.5
maize,Kharif,Medium,Medium,Medium,Medium,Medium,Loamy,21.0,625.0,57.5,6.0,24.0,750.0,65.0,6.5
maize,Kharif,Medium,Medium,Medium,Medium,Medium,Loamy,22.5,687.5,61.25,6.25,24.0,750.0,65.0,6.5
maize,Kharif,Medium,Medium,Medium,Medium,Medium,Loamy,24.0,750.0,65.0,6.5,24.0,750.0,65.0,6.5
maize,Kharif,Medium,Medium,Medium,Medium,Medium,Loamy,25.5,812.5,68.75,6.75,24.0,750.0,65.0,6.5
maize,Kharif,Medium,Medium,Medium,Medium,Medium,Loamy,27.0,875.0,72.5,7.0,24.0,750.0,65.0,6.5
maize,Rabi,Medium,Medium,Medium,Medium,Medium,Sandy loam,21.0,625.0,57.5,6.0,24.0,750.0,65.0,6.5
maize,Rabi,Medium,Medium,Medium,Medium,Medium,Sandy loam,22.5,687.5,61.25,6.25,24.0,750.0,65.0,6.5
maize,Rabi,Medium,Medium,Medium,Medium,Medium,Sandy loam,24.0,750.0,65.0,6.5,24.0,750.0,65.0,6.5
maize,Rabi,Medium,Medium,Medium,Medium,Medium,Sandy loam,25.5,812.5,68.75,6.75,24.0,750.0,65.0,6.5
maize,Rabi,Medium,Medium,Medium,Medium,Medium,Sandy loam,27.0,875.0,72.5,7.0,24.0,750.0,65.0,6.5
maize,Rabi,Medium,Medium,Medium,Medium,Medium,Loamy,21.0,625.0,57.5,6.0,24.0,750.0,65.0,6.5
maize,Rabi,Medium,Medium,Medium,Medium,Medium,Loamy,22.5,687.5,61.25,6.25,24.0,750.0,65.0,6.5
maize,Rabi,Medium,Medium,Medium,Medium,Medium,Loamy,24.0,750.0,65.0,6.5,24.0,750.0,65.0,6.5
maize,Rabi,Medium,Medium,Medium,Medium,Medium,Loamy,25.5,812.5,68.75,6.75,24.0,750.0,65.0,6.5
maize,Rabi,Medium,Medium,Medium,Medium,Medium,Loamy,27.0,875.0,72.5,7.0,24.0,750.0,65.0,6.5
barley,Rabi,Medium,Medium,Medium,Low,Medium,Well-drained loamy,11.5,400.0,46.25,6.375,15.0,500.0,52.5,6.75
barley,Rabi,Medium,Medium,Medium,Low,Medium,Well-drained loamy,13.25,450.0,49.375,6.562,15.0,500.0,52.5,6.75
barley,Rabi,Medium,Medium,Medium,Low,Medium,Well-drained loamy,15.0,500.0,52.5,6.75,15.0,500.0,52.5,6.75
barley,Rabi,Medium,Medium,Medium,Low,Medium,Well-drained loamy,16.75,550.0,55.625,6.938,15.0,500.0,52.5,6.75
barley,Rabi,Medium,Medium,Medium,Low,Medium,Well-drained loamy,18.5,600.0,58.75,7.125,15.0,500.0,52.5,6.75
barley,Rabi,Medium,Medium,Medium,Low,Medium,Light alluvial,11.5,400.0,46.25,6.375,15.0,500.0,52.5,6.75
barley,Rabi,Medium,Medium,Medium,Low,Medium,Light alluvial,13.25,450.0,49.375,6.562,15.0,500.0,52.5,6.75
barley,Rabi,Medium,Medium,Medium,Low,Medium,Light alluvial,15.0,500.0,52.5,6.75,15.0,500.0,52.5,6.75
barley,Rabi,Medium,Medium,Medium,Low,Medium,Light alluvial,16.75,550.0,55.625,6.938,15.0,500.0,52.5,6.75
barley,Rabi,Medium,Medium,Medium,Low,Medium,Light alluvial,18.5,600.0,58.75,7.125,15.0,500.0,52.5,6.75
bajra,Kharif,Medium,Medium,Medium,Low,Medium,Light sandy loam,26.75,325.0,37.5,6.0,29.5,450.0,45.0,6.5
bajra,Kharif,Medium,Medium,Medium,Low,Medium,Light sandy loam,28.125,387.5,41.25,6.25,29.5,450.0,45.0,6.5
bajra,Kharif,Medium,Medium,Medium,Low,Medium,Light sandy loam,29.5,450.0,45.0,6.5,29.5,450.0,45.0,6.5
bajra,Kharif,Medium,Medium,Medium,Low,Medium,Light sandy loam,30.875,512.5,48.75,6.75,29.5,450.0,45.0,6.5
bajra,Kharif,Medium,Medium,Medium,Low,Medium,Light sandy loam,32.25,575.0,52.5,7.0,29.5,450.0,45.0,6.5
bajra,Kharif,Medium,Medium,Medium,Low,Medium,Alluvial,26.75,325.0,37.5,6.0,29.5,450.0,45.0,6.5
bajra,Kharif,Medium,Medium,Medium,Low,Medium,Alluvial,28.125,387.5,41.25,6.25,29.5,450.0,45.0,6.5
bajra,Kharif,Medium,Medium,Medium,Low,Medium,Alluvial,29.5,450.0,45.0,6.5,29.5,450.0,45.0,6.5
bajra,Kharif,Medium,Medium,Medium,Low,Medium,Alluvial,30.875,512.5,48.75,6.75,29.5,450.0,45.0,6.5
bajra,Kharif,Medium,Medium,Medium,Low,Medium,Alluvial,32.25,575.0,52.5,7.0,29.5,450.0,45.0,6.5
sorghum,Kharif,Medium,Medium,Medium,Medium,Medium,Sandy loam,23.75,450.0,40.0,6.125,27.5,600.0,50.0,6.75
sorghum,Kharif,Medium,Medium,Medium,Medium,Medium,Sandy loam,25.625,525.0,45.0,6.438,27.5,600.0,50.0,6.75
sorghum,Kharif,Medium,Medium,Medium,Medium,Medium,Sandy loam,27.5,600.0,50.0,6.75,27.5,600.0,50.0,6.75
sorghum,Kharif,Medium,Medium,Medium,Medium,Medium,Sandy loam,29.375,675.0,55.0,7.062,27.5,600.0,50.0,6.75
sorghum,Kharif,Medium,Medium,Medium,Medium,Medium,Sandy loam,31.25,750.0,60.0,7.375,27.5,600.0,50.0,6.75
sorghum,Kharif,Medium,Medium,Medium,Medium,Medium,Red soil,23.75,450.0,40.0,6.125,27.5,600.0,50.0,6.75
sorghum,Kharif,Medium,Medium,Medium,Medium,Medium,Red soil,25.625,525.0,45.0,6.438,27.5,600.0,50.0,6.75
sorghum,Kharif,Medium,Medium,Medium,Medium,Medium,Red soil,27.5,600.0,50.0,6.75,27.5,600.0,50.0,6.75
sorghum,Kharif,Medium,Medium,Medium,Medium,Medium,Red soil,29.375,675.0,55.0,7.062,27.5,600.0,50.0,6.75
sorghum,Kharif,Medium,Medium,Medium,Medium,Medium,Red soil,31.25,750.0,60.0,7.375,27.5,600.0,50.0,6.75
sorghum,Kharif,Medium,Medium,Medium,Medium,Medium,Black soil,23.75,450.0,40.0,6.125,27.5,600.0,50.0,6.75
sorghum,Kharif,Medium,Medium,Medium,Medium,Medium,Black soil,25.625,525.0,45.0,6.438,27.5,600.0,50.0,6.75
sorghum,Kharif,Medium,Medium,Medium,Medium,Medium,Black soil,27.5,600.0,50.0,6.75,27.5,600.0,50.0,6.75
sorghum,Kharif,Medium,Medium,Medium,Medium,Medium,Black soil,29.375,675.0,55.0,7.062,27.5,600.0,50.0,6.75
sorghum,Kharif,Medium,Medium,Medium,Medium,Medium,Black soil,31.25,750.0,60.0,7.375,27.5,600.0,50.0,6.75
sorghum,Rabi,Medium,Medium,Medium,Medium,Medium,Sandy loam,23.75,450.0,40.0,6.125,27.5,600.0,50.0,6.75
sorghum,Rabi,Medium,Medium,Medium,Medium,Medium,Sandy loam,25.625,525.0,45.0,6.438,27.5,600.0,50.0,6.75
sorghum,Rabi,Medium,Medium,Medium,Medium,Medium,Sandy loam,27.5,600.0,50.0,6.75,27.5,600.0,50.0,6.75
sorghum,Rabi,Medium,Medium,Medium,Medium,Medium,Sandy loam,29.375,675.0,55.0,7.062,27.5,600.0,50.0,6.75
sorghum,Rabi,Medium,Medium,Medium,Medium,Medium,Sandy loam,31.25,750.0,60.0,7.375,27.5,600.0,50.0,6.75
sorghum,Rabi,Medium,Medium,Medium,Medium,Medium,Red soil,23.75,450.0,40.0,6.125,27.5,600.0,50.0,6.75
sorghum,Rabi,Medium,Medium,Medium,Medium,Medium,Red soil,25.625,525.0,45.0,6.438,27.5,600.0,50.0,6.75
sorghum,Rabi,Medium,Medium,Medium,Medium,Medium,Red soil,27.5,600.0,50.0,6.75,27.5,600.0,50.0,6.75
sorghum,Rabi,Medium,Medium,Medium,Medium,Medium,Red soil,29.375,675.0,55.0,7.062,27.5,600.0,50.0,6.75
sorghum,Rabi,Medium,Medium,Medium,Medium,Medium,Red soil,31.25,750.0,60.0,7.375,27.5,600.0,50.0,6.75
sorghum,Rabi,Medium,Medium,Medium,Medium,Medium,Black soil,23.75,450.0,40.0,6.125,27.5,600.0,50.0,6.75
sorghum,Rabi,Medium,Medium,Medium,Medium,Medium,Black soil,25.625,525.0,45.0,6.438,27.5,600.0,50.0,6.75
sorghum,Rabi,Medium,Medium,Medium,Medium,Medium,Black soil,27.5,600.0,50.0,6.75,27.5,600.0,50.0,6.75
sorghum,Rabi,Medium,Medium,Medium,Medium,Medium,Black soil,29.375,675.0,55.0,7.062,27.5,600.0,50.0,6.75
sorghum,Rabi,Medium,Medium,Medium,Medium,Medium,Black soil,31.25,750.0,60.0,7.375,27.5,600.0,50.0,6.75
chickpea,Rabi,Medium,Medium,Medium,Low,Medium,Sandy loam,14.25,400.0,37.5,6.5,18.5,500.0,45.0,7.0
chickpea,Rabi,Medium,Medium,Medium,Low,Medium,Sandy loam,16.375,450.0,41.25,6.75,18.5,500.0,45.0,7.0
chickpea,Rabi,Medium,Medium,Medium,Low,Medium,Sandy loam,18.5,500.0,45.0,7.0,18.5,500.0,45.0,7.0
chickpea,Rabi,Medium,Medium,Medium,Low,Medium,Sandy loam,20.625,550.0,48.75,7.25,18.5,500.0,45.0,7.0
chickpea,Rabi,Medium,Medium,Medium,Low,Medium,Sandy loam,22.75,600.0,52.5,7.5,18.5,500.0,45.0,7.0
chickpea,Rabi,Medium,Medium,Medium,Low,Medium,Light loam,14.25,400.0,37.5,6.5,18.5,500.0,45.0,7.0
chickpea,Rabi,Medium,Medium,Medium,Low,Medium,Light loam,16.375,450.0,41.25,6.75,18.5,500.0,45.0,7.0
chickpea,Rabi,Medium,Medium,Medium,Low,Medium,Light loam,18.5,500.0,45.0,7.0,18.5,500.0,45.0,7.0
chickpea,Rabi,Medium,Medium,Medium,Low,Medium,Light loam,20.625,550.0,48.75,7.25,18.5,500.0,45.0,7.0
chickpea,Rabi,Medium,Medium,Medium,Low,Medium,Light loam,22.75,600.0,52.5,7.5,18.5,500.0,45.0,7.0
pigeonpea,Kharif,Medium,Medium,Medium,Medium,Medium,Sandy loam,23.75,675.0,48.75,6.0,27.5,850.0,57.5,6.5
pigeonpea,Kharif,Medium,Medium,Medium,Medium,Medium,Sandy loam,25.625,762.5,53.125,6.25,27.5,850.0,57.5,6.5
pigeonpea,Kharif,Medium,Medium,Medium,Medium,Medium,Sandy loam,27.5,850.0,57.5,6.5,27.5,850.0,57.5,6.5
pigeonpea,Kharif,Medium,Medium,Medium,Medium,Medium,Sandy loam,29.375,937.5,61.875,6.75,27.5,850.0,57.5,6.5
pigeonpea,Kharif,Medium,Medium,Medium,Medium,Medium,Sandy loam,31.25,1025.0,66.25,7.0,27.5,850.0,57.5,6.5
pigeonpea,Kharif,Medium,Medium,Medium,Medium,Medium,Black soil,23.75,675.0,48.75,6.0,27.5,850.0,57.5,6.5
pigeonpea,Kharif,Medium,Medium,Medium,Medium,Medium,Black soil,25.625,762.5,53.125,6.25,27.5,850.0,57.5,6.5
pigeonpea,Kharif,Medium,Medium,Medium,Medium,Medium,Black soil,27.5,850.0,57.5,6.5,27.5,850.0,57.5,6.5
pigeonpea,Kharif,Medium,Medium,Medium,Medium,Medium,Black soil,29.375,937.5,61.875,6.75,27.5,850.0,57.5,6.5
pigeonpea,Kharif,Medium,Medium,Medium,Medium,Medium,Black soil,31.25,1025.0,66.25,7.0,27.5,850.0,57.5,6.5
pigeonpea,Kharif,Medium,Medium,Medium,Medium,Medium,Alluvial,23.75,675.0,48.75,6.0,27.5,850.0,57.5,6.5
pigeonpea,Kharif,Medium,Medium,Medium,Medium,Medium,Alluvial,25.625,762.5,53.125,6.25,27.5,850.0,57.5,6.5
pigeonpea,Kharif,Medium,Medium,Medium,Medium,Medium,Alluvial,27.5,850.0,57.5,6.5,27.5,850.0,57.5,6.5
pigeonpea,Kharif,Medium,Medium,Medium,Medium,Medium,Alluvial,29.375,937.5,61.875,6.75,27.5,850.0,57.5,6.5
pigeonpea,Kharif,Medium,Medium,Medium,Medium,Medium,Alluvial,31.25,1025.0,66.25,7.0,27.5,850.0,57.5,6.5
blackgram,Kharif,Medium,Medium,Medium,Medium,Medium,Sandy loam,25.25,450.0,50.0,6.375,28.5,600.0,60.0,6.75
blackgram,Kharif,Medium,Medium,Medium,Medium,Medium,Sandy loam,26.875,525.0,55.0,6.562,28.5,600.0,60.0,6.75
blackgram,Kharif,Medium,Medium,Medium,Medium,Medium,Sandy loam,28.5,600.0,60.0,6.75,28.5,600.0,60.0,6.75
blackgram,Kharif,Medium,Medium,Medium,Medium,Medium,Sandy loam,30.125,675.0,65.0,6.938,28.5,600.0,60.0,6.75
blackgram,Kharif,Medium,Medium,Medium,Medium,Medium,Sandy loam,31.75,750.0,70.0,7.125,28.5,600.0,60.0,6.75
blackgram,Kharif,Medium,Medium,Medium,Medium,Medium,Loam,25.25,450.0,50.0,6.375,28.5,600.0,60.0,6.75
blackgram,Kharif,Medium,Medium,Medium,Medium,Medium,Loam,26.875,525.0,55.0,6.562,28.5,600.0,60.0,6.75
blackgram,Kharif,Medium,Medium,Medium,Medium,Medium,Loam,28.5,600.0,60.0,6.75,28.5,600.0,60.0,6.75
blackgram,Kharif,Medium,Medium,Medium,Medium,Medium,Loam,30.125,675.0,65.0,6.938,28.5,600.0,60.0,6.75
blackgram,Kharif,Medium,Medium,Medium,Medium,Medium,Loam,31.75,750.0,70.0,7.125,28.5,600.0,60.0,6.75
blackgram,Rabi,Medium,Medium,Medium,Medium,Medium,Sandy loam,25.25,450.0,50.0,6.375,28.5,600.0,60.0,6.75
blackgram,Rabi,Medium,Medium,Medium,Medium,Medium,Sandy loam,26.875,525.0,55.0,6.562,28.5,600.0,60.0,6.75
blackgram,Rabi,Medium,Medium,Medium,Medium,Medium,Sandy loam,28.5,600.0,60.0,6.75,28.5,600.0,60.0,6.75
blackgram,Rabi,Medium,Medium,Medium,Medium,Medium,Sandy loam,30.125,675.0,65.0,6.938,28.5,600.0,60.0,6.75
blackgram,Rabi,Medium,Medium,Medium,Medium,Medium,Sandy loam,31.75,750.0,70.0,7.125,28.5,600.0,60.0,6.75
blackgram,Rabi,Medium,Medium,Medium,Medium,Medium,Loam,25.25,450.0,50.0,6.375,28.5,600.0,60.0,6.75
blackgram,Rabi,Medium,Medium,Medium,Medium,Medium,Loam,26.875,525.0,55.0,6.562,28.5,600.0,60.0,6.75
blackgram,Rabi,Medium,Medium,Medium,Medium,Medium,Loam,28.5,600.0,60.0,6.75,28.5,600.0,60.0,6.75
blackgram,Rabi,Medium,Medium,Medium,Medium,Medium,Loam,30.125,675.0,65.0,6.938,28.5,600.0,60.0,6.75
blackgram,Rabi,Medium,Medium,Medium,Medium,Medium,Loam,31.75,750.0,70.0,7.125,28.5,600.0,60.0,6.75
mungbean,Kharif,Medium,Medium,Medium,Medium,Medium,Sandy loam,23.75,450.0,50.0,6.375,27.5,600.0,60.0,6.75
mungbean,Kharif,Medium,Medium,Medium,Medium,Medium,Sandy loam,25.625,525.0,55.0,6.562,27.5,600.0,60.0,6.75
mungbean,Kharif,Medium,Medium,Medium,Medium,Medium,Sandy loam,27.5,600.0,60.0,6.75,27.5,600.0,60.0,6.75
mungbean,Kharif,Medium,Medium,Medium,Medium,Medium,Sandy loam,29.375,675.0,65.0,6.938,27.5,600.0,60.0,6.75
mungbean,Kharif,Medium,Medium,Medium,Medium,Medium,Sandy loam,31.25,750.0,70.0,7.125,27.5,600.0,60.0,6.75
mungbean,Kharif,Medium,Medium,Medium,Medium,Medium,Light loam,23.75,450.0,50.0,6.375,27.5,600.0,60.0,6.75
mungbean,Kharif,Medium,Medium,Medium,Medium,Medium,Light loam,25.625,525.0,55.0,6.562,27.5,600.0,60.0,6.75
mungbean,Kharif,Medium,Medium,Medium,Medium,Medium,Light loam,27.5,600.0,60.0,6.75,27.5,600.0,60.0,6.75
mungbean,Kharif,Medium,Medium,Medium,Medium,Medium,Light loam,29.375,675.0,65.0,6.938,27.5,600.0,60.0,6.75
mungbean,Kharif,Medium,Medium,Medium,Medium,Medium,Light loam,31.25,750.0,70.0,7.125,27.5,600.0,60.0,6.75
mungbean,Rabi,Medium,Medium,Medium,Medium,Medium,Sandy loam,23.75,450.0,50.0,6.375,27.5,600.0,60.0,6.75
mungbean,Rabi,Medium,Medium,Medium,Medium,Medium,Sandy loam,25.625,525.0,55.0,6.562,27.5,600.0,60.0,6.75
mungbean,Rabi,Medium,Medium,Medium,Medium,Medium,Sandy loam,27.5,600.0,60.0,6.75,27.5,600.0,60.0,6.75
mungbean,Rabi,Medium,Medium,Medium,Medium,Medium,Sandy loam,29.375,675.0,65.0,6.938,27.5,600.0,60.0,6.75
mungbean,Rabi,Medium,Medium,Medium,Medium,Medium,Sandy loam,31.25,750.0,70.0,7.125,27.5,600.0,60.0,6.75
mungbean,Rabi,Medium,Medium,Medium,Medium,Medium,Light loam,23.75,450.0,50.0,6.375,27.5,600.0,60.0,6.75
mungbean,Rabi,Medium,Medium,Medium,Medium,Medium,Light loam,25.625,525.0,55.0,6.562,27.5,600.0,60.0,6.75
mungbean,Rabi,Medium,Medium,Medium,Medium,Medium,Light loam,27.5,600.0,60.0,6.75,27.5,600.0,60.0,6.75
mungbean,Rabi,Medium,Medium,Medium,Medium,Medium,Light loam,29.375,675.0,65.0,6.938,27.5,600.0,60.0,6.75
mungbean,Rabi,Medium,Medium,Medium,Medium,Medium,Light loam,31.25,750.0,70.0,7.125,27.5,600.0,60.0,6.75
lentil,Rabi,Medium,Medium,Medium,Low,Medium,Loam,13.75,400.0,37.5,6.5,17.5,500.0,45.0,7.0
lentil,Rabi,Medium,Medium,Medium,Low,Medium,Loam,15.625,450.0,41.25,6.75,17.5,500.0,45.0,7.0
lentil,Rabi,Medium,Medium,Medium,Low,Medium,Loam,17.5,500.0,45.0,7.0,17.5,500.0,45.0,7.0
lentil,Rabi,Medium,Medium,Medium,Low,Medium,Loam,19.375,550.0,48.75,7.25,17.5,500.0,45.0,7.0
lentil,Rabi,Medium,Medium,Medium,Low,Medium,Loam,21.25,600.0,52.5,7.5,17.5,500.0,45.0,7.0
lentil,Rabi,Medium,Medium,Medium,Low,Medium,Clay loam,13.75,400.0,37.5,6.5,17.5,500.0,45.0,7.0
lentil,Rabi,Medium,Medium,Medium,Low,Medium,Clay loam,15.625,450.0,41.25,6.75,17.5,500.0,45.0,7.0
lentil,Rabi,Medium,Medium,Medium,Low,Medium,Clay loam,17.5,500.0,45.0,7.0,17.5,500.0,45.0,7.0
lentil,Rabi,Medium,Medium,Medium,Low,Medium,Clay loam,19.375,550.0,48.75,7.25,17.5,500.0,45.0,7.0
lentil,Rabi,Medium,Medium,Medium,Low,Medium,Clay loam,21.25,600.0,52.5,7.5,17.5,500.0,45.0,7.0
groundnut,Kharif,Medium,Medium,Medium,Medium,Medium,Sandy loam,23.75,625.0,58.75,5.875,27.5,750.0,67.5,6.25
groundnut,Kharif,Medium,Medium,Medium,Medium,Medium,Sandy loam,25.625,687.5,63.125,6.062,27.5,750.0,67.5,6.25
